	reporter	partner	transport	Tradelane	year	FLOW	cargo	KG	EUR	ExIm
5754	DE	BY	Road	BY-DE	2022	1	 22 - BEVERAGES, SPIRITS AND VINEGAR	599883	440563	Import
5755	DE	BY	Road	BY-DE	2022	1	 23 - RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER	132000	40073	Import
5756	DE	BY	Road	BY-DE	2022	1	 24 - TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES	84	1598	Import
5757	DE	BY	Road	BY-DE	2022	1	 26 - ORES, SLAG AND ASH	87868	205657	Import
5758	DE	BY	Road	BY-DE	2022	1	 27 - MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES	2417972	529808	Import
5759	DE	BY	Road	BY-DE	2022	1	 28 - INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES	41000	493910	Import
5760	DE	BY	Road	BY-DE	2022	1	 29 - ORGANIC CHEMICALS	78980	118795	Import
5761	DE	BY	Road	BY-DE	2022	1	 3 - FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES	3029	15241	Import
5762	DE	BY	Road	BY-DE	2022	1	 30 - PHARMACEUTICAL PRODUCTS	15025	419280	Import
5763	DE	BY	Road	BY-DE	2022	1	 31 - FERTILISERS	20182	40657	Import
5764	DE	BY	Road	BY-DE	2022	1	 33 - ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS	17514	680854	Import
5765	DE	BY	Road	BY-DE	2022	1	 35 - ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES	40015	346760	Import
5766	DE	BY	Road	BY-DE	2022	1	 38 - MISCELLANEOUS CHEMICAL PRODUCTS	1328443	3767534	Import
5767	DE	BY	Road	BY-DE	2022	1	 39 - PLASTICS AND ARTICLES THEREOF	1069727	3068360	Import
5768	DE	BY	Road	BY-DE	2022	1	 40 - RUBBER AND ARTICLES THEREOF	615612	3743679	Import
5769	DE	BY	Road	BY-DE	2022	1	 42 - ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)	347	5411	Import
5770	DE	BY	Road	BY-DE	2022	1	 44 - WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL	204458353	72844956	Import
5771	DE	BY	Road	BY-DE	2022	1	 46 - MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK	110742	333963	Import
5772	DE	BY	Road	BY-DE	2022	1	 49 - PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS	66338	336958	Import
5773	DE	BY	Road	BY-DE	2022	1	 5 - PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED	374221	326215	Import
5774	DE	BY	Road	BY-DE	2022	1	 51 - WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC	15113	77152	Import
5775	DE	BY	Road	BY-DE	2022	1	 52 - COTTON	1189	4960	Import
5776	DE	BY	Road	BY-DE	2022	1	 53 - OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN	36872	11976	Import
5777	DE	BY	Road	BY-DE	2022	1	 54 - MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS	1320661	6396772	Import
5778	DE	BY	Road	BY-DE	2022	1	 55 - MAN-MADE STAPLE FIBRES	619484	891791	Import
5779	DE	BY	Road	BY-DE	2022	1	 57 - CARPETS AND OTHER TEXTILE FLOOR COVERINGS	12296	47286	Import
5780	DE	BY	Road	BY-DE	2022	1	 58 - SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY	971	18792	Import
5781	DE	BY	Road	BY-DE	2022	1	 59 - IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE	113909	435337	Import
5782	DE	BY	Road	BY-DE	2022	1	 6 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE	209	3815	Import
5783	DE	BY	Road	BY-DE	2022	1	 61 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED	6617	77520	Import
5784	DE	BY	Road	BY-DE	2022	1	 62 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED	3601	178985	Import
5785	DE	BY	Road	BY-DE	2022	1	 63 - OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS	2002258	2019354	Import
5786	DE	BY	Road	BY-DE	2022	1	 64 - FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES	5619	67311	Import
5787	DE	BY	Road	BY-DE	2022	1	 68 - ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS	8807809	4131036	Import
5788	DE	BY	Road	BY-DE	2022	1	 69 - CERAMIC PRODUCTS	250230	466651	Import
5789	DE	BY	Road	BY-DE	2022	1	 7 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS	992206	6340107	Import
5790	DE	BY	Road	BY-DE	2022	1	 70 - GLASS AND GLASSWARE	15772161	14256714	Import
5791	DE	BY	Road	BY-DE	2022	1	 71 - NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN	147529	2171681	Import
5792	DE	BY	Road	BY-DE	2022	1	 72 - IRON AND STEEL	18525221	15654998	Import
5793	DE	BY	Road	BY-DE	2022	1	 73 - ARTICLES OF IRON OR STEEL	13086298	15099788	Import
5794	DE	BY	Road	BY-DE	2022	1	 74 - COPPER AND ARTICLES THEREOF	408	70545	Import
5795	DE	BY	Road	BY-DE	2022	1	 75 - NICKEL AND ARTICLES THEREOF	125542	461209	Import
5796	DE	BY	Road	BY-DE	2022	1	 76 - ALUMINIUM AND ARTICLES THEREOF	25799	385150	Import
5797	DE	BY	Road	BY-DE	2022	1	 78 - LEAD AND ARTICLES THEREOF	428415	908378	Import
5798	DE	BY	Road	BY-DE	2022	1	 8 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS	586243	2183672	Import
5799	DE	BY	Road	BY-DE	2022	1	 82 - TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL	12426	146525	Import
5800	DE	BY	Road	BY-DE	2022	1	 83 - MISCELLANEOUS ARTICLES OF BASE METAL	14186	126638	Import
5801	DE	BY	Road	BY-DE	2022	1	 85 - ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES	14583271	62408395	Import
5802	DE	BY	Road	BY-DE	2022	1	 90 - OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF	489090	25868574	Import
5803	DE	BY	Road	BY-DE	2022	1	 91 - CLOCKS AND WATCHES AND PARTS THEREOF	33234	273445	Import
5804	DE	BY	Road	BY-DE	2022	1	 92 - MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES	37	756	Import
5805	DE	BY	Road	BY-DE	2022	1	 94 - FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS	24630316	68791757	Import
5806	DE	BY	Road	BY-DE	2022	1	 95 - TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF	420776	2170016	Import
5807	DE	BY	Road	BY-DE	2022	1	 96 - MISCELLANEOUS MANUFACTURED ARTICLES	27881	125025	Import
5808	DE	BY	Road	BY-DE	2022	1	 97 - WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES	18646	63786	Import
5809	DE	BY	Road	DE-BY	2018	2	1 - LIVE ANIMALS	99413	1309214	Export
5810	DE	BY	Road	DE-BY	2018	2	10 - CEREALS	2059428	5816454	Export
5811	DE	BY	Road	DE-BY	2018	2	11 - PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN	577063	428777	Export
5812	DE	BY	Road	DE-BY	2018	2	15 - ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES	377066	806356	Export
5813	DE	BY	Road	DE-BY	2018	2	16 - PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES	18	16060	Export
5814	DE	BY	Road	DE-BY	2018	2	17 - SUGARS AND SUGAR CONFECTIONERY	1051576	2707596	Export
5815	DE	BY	Road	DE-BY	2018	2	25 - SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT	3907430	1115758	Export
5816	DE	BY	Road	DE-BY	2018	2	41 - RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER	19821	49681	Export
5817	DE	BY	Road	DE-BY	2018	2	47 - PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD	108049	122683	Export
5818	DE	BY	Road	DE-BY	2018	2	48 - PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD	8945385	18537033	Export
5819	DE	BY	Road	DE-BY	2018	2	50 - SILK	94	18099	Export
5820	DE	BY	Road	DE-BY	2018	2	56 - WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF	131488	1440948	Export
5821	DE	BY	Road	DE-BY	2018	2	65 - HEADGEAR AND PARTS THEREOF	4142	141296	Export
5822	DE	BY	Road	DE-BY	2018	2	84 - NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF	23743940	438028229	Export
5823	DE	BY	Road	DE-BY	2018	2	9 - COFFEE, TEA, MATÉ AND SPICES	1069873	3655611	Export
5824	DE	BY	Road	DE-BY	2018	2	 12 - OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER	1236419	10415147	Export
5825	DE	BY	Road	DE-BY	2018	2	 13 - LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS	90031	1479774	Export
5826	DE	BY	Road	DE-BY	2018	2	 18 - COCOA AND COCOA PREPARATIONS	1443186	5816561	Export
5827	DE	BY	Road	DE-BY	2018	2	 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS	479754	1221051	Export
5828	DE	BY	Road	DE-BY	2018	2	 20 - PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS	1102852	1648429	Export
5829	DE	BY	Road	DE-BY	2018	2	 21 - MISCELLANEOUS EDIBLE PREPARATIONS	3143758	12182269	Export
5830	DE	BY	Road	DE-BY	2018	2	 22 - BEVERAGES, SPIRITS AND VINEGAR	5458432	22140719	Export
5831	DE	BY	Road	DE-BY	2018	2	 23 - RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER	4050691	7291330	Export
5832	DE	BY	Road	DE-BY	2018	2	 24 - TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES	217894	5471329	Export
5833	DE	BY	Road	DE-BY	2018	2	 27 - MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES	4693142	13050426	Export
5834	DE	BY	Road	DE-BY	2018	2	 28 - INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES	3347417	3813901	Export
5835	DE	BY	Road	DE-BY	2018	2	 29 - ORGANIC CHEMICALS	5863855	15046079	Export
5836	DE	BY	Road	DE-BY	2018	2	 30 - PHARMACEUTICAL PRODUCTS	1811048	47617346	Export
5837	DE	BY	Road	DE-BY	2018	2	 31 - FERTILISERS	22907	47468	Export
5838	DE	BY	Road	DE-BY	2018	2	 32 - TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS	8046400	31840814	Export
5839	DE	BY	Road	DE-BY	2018	2	 33 - ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS	802294	19928108	Export
5840	DE	BY	Road	DE-BY	2018	2	 34 - SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER	7148875	18265435	Export
5841	DE	BY	Road	DE-BY	2018	2	 35 - ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES	1759902	5080666	Export
5842	DE	BY	Road	DE-BY	2018	2	 36 - EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS	2565	39040	Export
5843	DE	BY	Road	DE-BY	2018	2	 37 - PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS	63104	1263606	Export
5844	DE	BY	Road	DE-BY	2018	2	 38 - MISCELLANEOUS CHEMICAL PRODUCTS	7744331	48744602	Export
5845	DE	BY	Road	DE-BY	2018	2	 39 - PLASTICS AND ARTICLES THEREOF	35948922	84783081	Export
5846	DE	BY	Road	DE-BY	2018	2	 4 - DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED	162000	565700	Export
5847	DE	BY	Road	DE-BY	2018	2	 40 - RUBBER AND ARTICLES THEREOF	3927718	12455145	Export
5848	DE	BY	Road	DE-BY	2018	2	 42 - ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)	59973	1505921	Export
5849	DE	BY	Road	DE-BY	2018	2	 43 - FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF	1130	100508	Export
5850	DE	BY	Road	DE-BY	2018	2	 44 - WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL	3749153	3265898	Export
5851	DE	BY	Road	DE-BY	2018	2	 45 - CORK AND ARTICLES OF CORK	16441	153094	Export
5852	DE	BY	Road	DE-BY	2018	2	 46 - MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK	85	563	Export
5853	DE	BY	Road	DE-BY	2018	2	 49 - PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS	100655	590073	Export
5854	DE	BY	Road	DE-BY	2018	2	 5 - PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED	14	1068	Export
5855	DE	BY	Road	DE-BY	2018	2	 51 - WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC	57935	895578	Export
5856	DE	BY	Road	DE-BY	2018	2	 52 - COTTON	642098	6627360	Export
5857	DE	BY	Road	DE-BY	2018	2	 53 - OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN	2366	95879	Export
5858	DE	BY	Road	DE-BY	2018	2	 54 - MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS	1239164	7061444	Export
5859	DE	BY	Road	DE-BY	2018	2	 55 - MAN-MADE STAPLE FIBRES	127643	1649937	Export
5860	DE	BY	Road	DE-BY	2018	2	 57 - CARPETS AND OTHER TEXTILE FLOOR COVERINGS	42138	324092	Export
5861	DE	BY	Road	DE-BY	2018	2	 58 - SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY	11488	385321	Export
5862	DE	BY	Road	DE-BY	2018	2	 59 - IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE	141718	1472240	Export
5863	DE	BY	Road	DE-BY	2018	2	 6 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE	60582	88771	Export
5864	DE	BY	Road	DE-BY	2018	2	 60 - KNITTED OR CROCHETED FABRICS	171128	1419512	Export
5865	DE	BY	Road	DE-BY	2018	2	 61 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED	46045	1914767	Export
5866	DE	BY	Road	DE-BY	2018	2	 62 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED	47334	3066836	Export
5867	DE	BY	Road	DE-BY	2018	2	 63 - OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS	10026451	2511047	Export
5868	DE	BY	Road	DE-BY	2018	2	 64 - FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES	70400	2995968	Export
5869	DE	BY	Road	DE-BY	2018	2	 66 - UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF	1048	14523	Export
5870	DE	BY	Road	DE-BY	2018	2	 67 - PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR	1074	23425	Export
5871	DE	BY	Road	DE-BY	2018	2	 68 - ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS	2715919	5542971	Export
5872	DE	BY	Road	DE-BY	2018	2	 69 - CERAMIC PRODUCTS	2525634	2117719	Export
5873	DE	BY	Road	DE-BY	2018	2	 7 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS	1997859	1161278	Export
5874	DE	BY	Road	DE-BY	2018	2	 70 - GLASS AND GLASSWARE	376101	2136420	Export
5875	DE	BY	Road	DE-BY	2018	2	 71 - NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN	444	7046815	Export
5876	DE	BY	Road	DE-BY	2018	2	 72 - IRON AND STEEL	7928545	10929825	Export
5877	DE	BY	Road	DE-BY	2018	2	 73 - ARTICLES OF IRON OR STEEL	5128625	25092291	Export
5878	DE	BY	Road	DE-BY	2018	2	 74 - COPPER AND ARTICLES THEREOF	216490	2564394	Export
5879	DE	BY	Road	DE-BY	2018	2	 75 - NICKEL AND ARTICLES THEREOF	7503	193721	Export
5880	DE	BY	Road	DE-BY	2018	2	 76 - ALUMINIUM AND ARTICLES THEREOF	1632864	8078099	Export
5881	DE	BY	Road	DE-BY	2018	2	 78 - LEAD AND ARTICLES THEREOF	16589	98117	Export
5882	DE	BY	Road	DE-BY	2018	2	 79 - ZINC AND ARTICLES THEREOF	4189	64033	Export
5883	DE	BY	Road	DE-BY	2018	2	 8 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS	3031	44700	Export
5884	DE	BY	Road	DE-BY	2018	2	 80 - TIN AND ARTICLES THEREOF	1169	27432	Export
5885	DE	BY	Road	DE-BY	2018	2	 81 - OTHER BASE METALS; CERMETS; ARTICLES THEREOF	4202	259069	Export
5886	DE	BY	Road	DE-BY	2018	2	 82 - TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL	442946	11246197	Export
5887	DE	BY	Road	DE-BY	2018	2	 83 - MISCELLANEOUS ARTICLES OF BASE METAL	994924	6984603	Export
5888	DE	BY	Road	DE-BY	2018	2	 85 - ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES	5637504	109061938	Export
5889	DE	BY	Road	DE-BY	2018	2	 86 - RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS	208174	4360514	Export
5890	DE	BY	Road	DE-BY	2018	2	 87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF	23170956	190767979	Export
5891	DE	BY	Road	DE-BY	2018	2	 89 - SHIPS, BOATS AND FLOATING STRUCTURES	317	88199	Export
5892	DE	BY	Road	DE-BY	2018	2	 90 - OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF	465721	52037844	Export
5893	DE	BY	Road	DE-BY	2018	2	 91 - CLOCKS AND WATCHES AND PARTS THEREOF	3208	295718	Export
5894	DE	BY	Road	DE-BY	2018	2	 92 - MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES	4043	125965	Export
5895	DE	BY	Road	DE-BY	2018	2	 93 - ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF	2549	33551	Export
5896	DE	BY	Road	DE-BY	2018	2	 94 - FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS	605748	6458317	Export
5897	DE	BY	Road	DE-BY	2018	2	 95 - TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF	130918	1944365	Export
5898	DE	BY	Road	DE-BY	2018	2	 96 - MISCELLANEOUS MANUFACTURED ARTICLES	113901	2156367	Export
5899	DE	BY	Road	DE-BY	2018	2	 97 - WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES	7	6129	Export
5900	DE	BY	Road	DE-BY	2019	2	1 - LIVE ANIMALS	126787	1775866	Export
5901	DE	BY	Road	DE-BY	2019	2	10 - CEREALS	2996346	8488530	Export
5902	DE	BY	Road	DE-BY	2019	2	11 - PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN	737286	537614	Export
5903	DE	BY	Road	DE-BY	2019	2	15 - ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES	652243	1185093	Export
5904	DE	BY	Road	DE-BY	2019	2	17 - SUGARS AND SUGAR CONFECTIONERY	619919	2497457	Export
5905	DE	BY	Road	DE-BY	2019	2	25 - SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT	2476564	879922	Export
5906	DE	BY	Road	DE-BY	2019	2	41 - RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER	33683	209857	Export
5907	DE	BY	Road	DE-BY	2019	2	47 - PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD	768441	533238	Export
5908	DE	BY	Road	DE-BY	2019	2	48 - PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD	10359666	19562812	Export
5909	DE	BY	Road	DE-BY	2019	2	50 - SILK	38	7768	Export
5910	DE	BY	Road	DE-BY	2019	2	56 - WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF	100108	833181	Export
5911	DE	BY	Road	DE-BY	2019	2	65 - HEADGEAR AND PARTS THEREOF	4924	193263	Export
5912	DE	BY	Road	DE-BY	2019	2	84 - NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF	21475491	388337177	Export
5913	DE	BY	Road	DE-BY	2019	2	9 - COFFEE, TEA, MATÉ AND SPICES	1363659	4381856	Export
5914	DE	BY	Road	DE-BY	2019	2	 12 - OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER	1820573	14683308	Export
5915	DE	BY	Road	DE-BY	2019	2	 13 - LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS	85695	1495308	Export
5916	DE	BY	Road	DE-BY	2019	2	 14 - VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED	635	591	Export
5917	DE	BY	Road	DE-BY	2019	2	 18 - COCOA AND COCOA PREPARATIONS	1259017	6008180	Export
5918	DE	BY	Road	DE-BY	2019	2	 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS	568548	1438878	Export
5919	DE	BY	Road	DE-BY	2019	2	 2 - MEAT AND EDIBLE MEAT OFFAL	240193	342536	Export
5920	DE	BY	Road	DE-BY	2019	2	 20 - PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS	1585293	2009229	Export
5921	DE	BY	Road	DE-BY	2019	2	 21 - MISCELLANEOUS EDIBLE PREPARATIONS	2777448	11913462	Export
5922	DE	BY	Road	DE-BY	2019	2	 22 - BEVERAGES, SPIRITS AND VINEGAR	6634231	24507899	Export
5923	DE	BY	Road	DE-BY	2019	2	 23 - RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER	5141524	9012974	Export
